country,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25
Middle East,6.0,7.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,27.0,0.0,17.0,30.0,11.0,0.0,1.0,0.0,0.0,2.0,1.0,27.0,1.0,9.0,3.0,9.0,2.0,7.0,7.0,12.0,8.0,4.0,6.0,3.0,1.0,12.0,5.0,20.0,42.0,19.0,27.0,7.0,0.0,5.0,4.0,1.0,3.0,11.0,11.0,29.0,38.0,45.0,17.0,18.0,11.0,10.0,15.0,1.0,5.0,15.0,9.0,27.0,27.0,47.0,10.0,12.0
Northeast Asia,167.0,171.0,38.0,3.0,0.0,55.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,6.0,0.0,11.0,4.0,1.0,0.0,3.0,0.0,8.0,5.0,5.0,2.0,12.0,6.0,12.0,48.0,10.0,33.0,8.0,54.0,36.0,59.0,58.0,72.0,119.0,90.0,124.0,202.0,244.0,300.0,247.0,97.0,83.0,65.0,60.0,77.0,67.0,90.0,113.0,163.0,216.0,218.0,194.0,176.0,90.0,66.0,43.0,135.0,54.0,72.0,82.0,43.0,98.0,260.0,69.0,76.0
Southeast Asia,42.0,54.0,32.0,2.0,0.0,0.0,54.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,9.0,1.0,5.0,3.0,18.0,25.0,8.0,9.0,12.0,9.0,9.0,23.0,18.0,18.0,8.0,32.0,37.0,91.0,213.0,169.0,146.0,198.0,164.0,52.0,61.0,39.0,30.0,86.0,115.0,172.0,299.0,197.0,164.0,194.0,201.0,127.0,106.0,82.0,37.0,70.0,83.0,139.0,72.0,130.0,107.0,92.0,118.0
Southern Asia,20.0,14.0,25.0,0.0,2.0,0.0,0.0,11.0,0.0,177.0,38.0,2.0,23.0,0.0,17.0,0.0,6.0,3.0,3.0,0.0,9.0,0.0,5.0,8.0,5.0,34.0,8.0,11.0,26.0,46.0,13.0,3.0,52.0,30.0,11.0,13.0,6.0,27.0,48.0,54.0,105.0,101.0,94.0,92.0,81.0,62.0,41.0,29.0,14.0,13.0,33.0,34.0,51.0,135.0,106.0,66.0,75.0,55.0,29.0,30.0,60.0,51.0,67.0,87.0,160.0,148.0,131.0,104.0,63.0,64.0
"Asia, n.o.s. 6",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,108.0,74.0,52.0,0.0,0.0,0.0,55.0,0.0,29.0,0.0,0.0,0.0,19.0,0.0,12.0,0.0,7.0,5.0,3.0,0.0,0.0,0.0,41.0,22.0,7.0,12.0,25.0,14.0,15.0,18.0,59.0,58.0,12.0,14.0,21.0,49.0,12.0,13.0,25.0,15.0,111.0,150.0,201.0,260.0,62.0,77.0,39.0,61.0,28.0,40.0,25.0,70.0,57.0,138.0,262.0,102.0,64.0,142.0,69.0,110.0,43.0,52.0,39.0,56.0,71.0,75.0,109.0,100.0,53.0,47.0
Australasia,104.0,74.0,46.0,0.0,0.0,0.0,55.0,0.0,29.0,0.0,0.0,0.0,19.0,0.0,9.0,0.0,6.0,5.0,2.0,0.0,0.0,0.0,41.0,22.0,7.0,12.0,25.0,14.0,15.0,18.0,59.0,58.0,12.0,14.0,21.0,49.0,12.0,13.0,25.0,15.0,106.0,146.0,201.0,260.0,62.0,77.0,39.0,61.0,28.0,40.0,24.0,70.0,57.0,132.0,257.0,102.0,60.0,142.0,69.0,110.0,43.0,52.0,38.0,56.0,71.0,73.0,95.0,100.0,53.0,43.0
Melanesia,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Micronesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,14.0,0.0,0.0,4.0
Polynesia,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Oceania, n.o.s. 7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antarctica and Adjacent Islands,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antarctica and Adjacent Islands Region,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Antarctica and Adjacent Islands, n.o.s. 8",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
