country,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25
Central Africa,503.0,416.0,283.0,19.0,13.0,18.0,77.0,150.0,123.0,82.0,149.0,189.0,143.0,137.0,89.0,94.0,123.0,179.0,266.0,302.0,485.0,337.0,312.0,585.0,215.0,204.0,307.0,532.0,654.0,955.0,1030.0,830.0,810.0,666.0,457.0,851.0,409.0,448.0,587.0,640.0,1059.0,1908.0,1930.0,1651.0,1684.0,1314.0,879.0,1168.0,630.0,708.0,907.0,1097.0,1319.0,1980.0,2132.0,1683.0,1199.0,1048.0,625.0,816.0,1394.0,1344.0,1569.0,1671.0,2193.0,3238.0,3590.0,2578.0,2852.0,2280.0
Southern Africa,1033.0,1020.0,614.0,37.0,25.0,102.0,63.0,114.0,88.0,198.0,202.0,252.0,145.0,91.0,101.0,55.0,142.0,192.0,278.0,645.0,625.0,521.0,475.0,569.0,404.0,389.0,571.0,846.0,1238.0,2385.0,2461.0,1754.0,1624.0,1057.0,821.0,3128.0,544.0,568.0,804.0,799.0,1292.0,2948.0,2465.0,1998.0,1951.0,1163.0,935.0,1755.0,682.0,704.0,867.0,1034.0,1654.0,2611.0,2350.0,1946.0,1842.0,1123.0,780.0,1414.0,642.0,689.0,808.0,940.0,1433.0,2438.0,2699.0,2037.0,1651.0,1235.0
"Africa, n.o.s. 5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asia,143201.0,88739.0,40276.0,3426.0,3813.0,5927.0,8977.0,15767.0,17508.0,13000.0,12295.0,15156.0,13584.0,13299.0,12126.0,15107.0,8516.0,12267.0,21501.0,32009.0,37352.0,36676.0,32244.0,44108.0,18933.0,21300.0,33745.0,45065.0,72611.0,98998.0,106162.0,80985.0,89266.0,87233.0,60121.0,78840.0,63249.0,58318.0,75172.0,90858.0,182024.0,207643.0,222470.0,154064.0,170132.0,150300.0,91257.0,108166.0,81610.0,101625.0,102840.0,121710.0,213503.0,247918.0,255353.0,187602.0,177836.0,147345.0,85867.0,109125.0,105793.0,92834.0,110349.0,132577.0,216305.0,259445.0,281630.0,203405.0,203800.0,169317.0
Middle East,5586.0,4879.0,3405.0,266.0,609.0,614.0,1756.0,2140.0,1699.0,1702.0,1703.0,2274.0,1585.0,1122.0,986.0,1146.0,1541.0,3030.0,6751.0,5550.0,5608.0,4490.0,3245.0,6150.0,1931.0,2094.0,3551.0,4736.0,5810.0,11209.0,16454.0,9720.0,6535.0,5547.0,4427.0,6778.0,3443.0,3385.0,4612.0,6441.0,8332.0,19519.0,20294.0,14666.0,12710.0,9404.0,6189.0,9297.0,4732.0,4902.0,6598.0,7993.0,10455.0,20308.0,21911.0,15860.0,9768.0,9216.0,6400.0,9451.0,5122.0,5249.0,7483.0,7362.0,11446.0,21112.0,23181.0,15605.0,11122.0,10179.0
Northeast Asia,108897.0,58011.0,20534.0,1490.0,1834.0,2944.0,3202.0,6032.0,4576.0,3650.0,3626.0,4105.0,3871.0,2919.0,2918.0,3406.0,3348.0,4027.0,7037.0,14146.0,12966.0,9605.0,9561.0,14648.0,6986.0,5713.0,8865.0,11645.0,19525.0,29547.0,40173.0,36286.0,33737.0,32412.0,26658.0,37558.0,35379.0,27529.0,34079.0,35737.0,56729.0,76460.0,98286.0,76836.0,81386.0,74974.0,39221.0,50371.0,41275.0,50552.0,44625.0,48753.0,78099.0,98200.0,118909.0,99505.0,99646.0,83872.0,42809.0,56879.0,64642.0,45159.0,47593.0,55728.0,84240.0,112587.0,140885.0,114819.0,118819.0,100666.0
Southeast Asia,9868.0,8018.0,4935.0,494.0,384.0,782.0,1280.0,1848.0,1528.0,1536.0,1737.0,1735.0,1367.0,1239.0,1272.0,1456.0,1656.0,1864.0,1829.0,3049.0,3149.0,2929.0,3271.0,8529.0,2915.0,2908.0,4667.0,6817.0,9473.0,13789.0,12950.0,10587.0,15696.0,11982.0,8953.0,16081.0,8416.0,8454.0,10048.0,14781.0,23299.0,31523.0,27351.0,20852.0,28280.0,24117.0,14890.0,19575.0,9496.0,11275.0,14099.0,20560.0,34060.0,45076.0,32248.0,25009.0,28367.0,22302.0,13019.0,20647.0,10960.0,10254.0,14157.0,20758.0,32805.0,39690.0,31295.0,23442.0,27002.0,21848.0
Southern Asia,18850.0,17831.0,11402.0,1176.0,986.0,1587.0,2739.0,5747.0,9705.0,6112.0,5229.0,7042.0,6761.0,8019.0,6950.0,9099.0,1971.0,3346.0,5884.0,9264.0,15629.0,19652.0,16167.0,14781.0,7101.0,10585.0,16662.0,21867.0,37803.0,44453.0,36585.0,24392.0,33298.0,37292.0,20083.0,18423.0,16011.0,18950.0,26433.0,33899.0,93664.0,80141.0,76539.0,41710.0,47756.0,41805.0,30957.0,28923.0,26107.0,34896.0,37518.0,44404.0,90889.0,84334.0,82285.0,47228.0,40055.0,31955.0,23639.0,22148.0,25069.0,32172.0,41116.0,48729.0,87814.0,86056.0,86269.0,49539.0,46857.0,36624.0
"Asia, n.o.s. 6",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oceania,32324.0,18010.0,7283.0,295.0,123.0,280.0,947.0,1085.0,501.0,404.0,476.0,360.0,238.0,257.0,214.0,221.0,233.0,353.0,731.0,681.0,951.0,1093.0,1737.0,6183.0,4371.0,4126.0,5197.0,8507.0,12683.0,24936.0,28969.0,26762.0,26012.0,15266.0,12674.0,37359.0,29212.0,15581.0,13697.0,18126.0,37293.0,45236.0,44982.0,45612.0,42657.0,21291.0,14615.0,36923.0,26305.0,16249.0,15309.0,20245.0,43827.0,50873.0,48269.0,44905.0,46744.0,22421.0,15034.0,36381.0,26632.0,16811.0,14646.0,20676.0,47353.0,48879.0,48289.0,51561.0,48400.0,22041.0
Australasia,32057.0,17802.0,7096.0,280.0,117.0,192.0,358.0,374.0,305.0,302.0,361.0,272.0,188.0,192.0,166.0,158.0,177.0,280.0,574.0,420.0,750.0,867.0,1583.0,5861.0,4255.0,4024.0,5017.0,8159.0,12309.0,24255.0,28309.0,26139.0,25374.0,14987.0,12377.0,36621.0,28860.0,15206.0,13319.0,17701.0,36532.0,44394.0,43962.0,44720.0,41685.0,20722.0,14257.0,36228.0,25905.0,15846.0,14940.0,19780.0,43106.0,50070.0,47395.0,44086.0,46103.0,21972.0,14656.0,35623.0,26258.0,16459.0,14283.0,20236.0,46739.0,48099.0,47374.0,45817.0,47650.0,21561.0
Melanesia,142.0,131.0,88.0,4.0,1.0,4.0,8.0,3.0,3.0,9.0,12.0,13.0,8.0,2.0,9.0,10.0,6.0,16.0,38.0,21.0,42.0,29.0,34.0,126.0,57.0,39.0,79.0,138.0,129.0,154.0,284.0,302.0,190.0,89.0,177.0,410.0,234.0,223.0,209.0,180.0,342.0,405.0,479.0,442.0,492.0,314.0,223.0,408.0,298.0,258.0,214.0,268.0,419.0,426.0,425.0,443.0,371.0,263.0,210.0,346.0,256.0,237.0,205.0,246.0,299.0,353.0,457.0,390.0,399.0,214.0
Micronesia,52.0,21.0,26.0,10.0,5.0,15.0,9.0,9.0,10.0,6.0,16.0,11.0,3.0,4.0,13.0,13.0,1.0,7.0,13.0,12.0,31.0,29.0,51.0,33.0,11.0,18.0,20.0,58.0,51.0,202.0,83.0,59.0,237.0,41.0,56.0,61.0,37.0,30.0,35.0,45.0,212.0,138.0,157.0,127.0,198.0,62.0,24.0,51.0,26.0,25.0,35.0,53.0,91.0,128.0,94.0,147.0,45.0,50.0,35.0,91.0,28.0,20.0,36.0,39.0,99.0,189.0,98.0,5055.0,82.0,86.0
Polynesia,73.0,56.0,73.0,1.0,0.0,69.0,572.0,699.0,183.0,87.0,87.0,64.0,39.0,59.0,26.0,40.0,49.0,50.0,106.0,228.0,128.0,168.0,69.0,163.0,48.0,45.0,81.0,152.0,194.0,325.0,293.0,262.0,211.0,149.0,64.0,267.0,81.0,122.0,134.0,200.0,207.0,299.0,384.0,323.0,282.0,193.0,111.0,236.0,76.0,120.0,120.0,144.0,211.0,249.0,355.0,229.0,225.0,136.0,133.0,321.0,90.0,95.0,122.0,155.0,216.0,238.0,360.0,299.0,269.0,180.0
"Oceania, n.o.s. 7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antarctica and Adjacent Islands,30.0,28.0,15.0,1.0,5.0,5.0,5.0,2.0,5.0,9.0,6.0,5.0,0.0,3.0,7.0,11.0,14.0,25.0,11.0,15.0,33.0,40.0,17.0,25.0,10.0,20.0,37.0,72.0,89.0,117.0,104.0,53.0,26.0,39.0,30.0,47.0,14.0,22.0,23.0,41.0,46.0,71.0,75.0,88.0,70.0,67.0,38.0,38.0,11.0,19.0,22.0,25.0,32.0,47.0,42.0,26.0,32.0,30.0,26.0,51.0,14.0,18.0,14.0,40.0,44.0,77.0,77.0,51.0,59.0,68.0
Antarctica and Adjacent Islands Region,30.0,28.0,15.0,1.0,5.0,5.0,5.0,2.0,5.0,9.0,6.0,5.0,0.0,3.0,7.0,11.0,14.0,25.0,11.0,15.0,33.0,40.0,17.0,25.0,10.0,20.0,37.0,72.0,89.0,117.0,104.0,53.0,26.0,39.0,30.0,47.0,14.0,22.0,23.0,41.0,46.0,71.0,75.0,88.0,70.0,67.0,38.0,38.0,11.0,19.0,22.0,25.0,32.0,47.0,42.0,26.0,32.0,30.0,26.0,51.0,14.0,18.0,14.0,40.0,44.0,77.0,77.0,51.0,59.0,68.0
"Antarctica and Adjacent Islands, n.o.s. 8",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
