Country of residence 2,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25
Central Africa,503,416,283,19,13,18,77,150,123,82,149,189,143,137,89,94,123,179,266,302,485,337,312,585,215,204,307,532,654,955,"1,030",830,810,666,457,851,409,448,587,640,"1,059","1,908","1,930","1,651","1,684","1,314",879,"1,168",630,708,907,"1,097","1,319","1,980","2,132","1,683","1,199","1,048",625,816,"1,394","1,344","1,569","1,671","2,193","3,238","3,590","2,578","2,852","2,280"
Southern Africa,"1,033","1,020",614,37,25,102,63,114,88,198,202,252,145,91,101,55,142,192,278,645,625,521,475,569,404,389,571,846,"1,238","2,385","2,461","1,754","1,624","1,057",821,"3,128",544,568,804,799,"1,292","2,948","2,465","1,998","1,951","1,163",935,"1,755",682,704,867,"1,034","1,654","2,611","2,350","1,946","1,842","1,123",780,"1,414",642,689,808,940,"1,433","2,438","2,699","2,037","1,651","1,235"
"Africa, n.o.s. 5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asia,"143,201","88,739","40,276","3,426","3,813","5,927","8,977","15,767","17,508","13,000","12,295","15,156","13,584","13,299","12,126","15,107","8,516","12,267","21,501","32,009","37,352","36,676","32,244","44,108","18,933","21,300","33,745","45,065","72,611","98,998","106,162","80,985","89,266","87,233","60,121","78,840","63,249","58,318","75,172","90,858","182,024","207,643","222,470","154,064","170,132","150,300","91,257","108,166","81,610","101,625","102,840","121,710","213,503","247,918","255,353","187,602","177,836","147,345","85,867","109,125","105,793","92,834","110,349","132,577","216,305","259,445","281,630","203,405","203,800","169,317"
Middle East,"5,586","4,879","3,405",266,609,614,"1,756","2,140","1,699","1,702","1,703","2,274","1,585","1,122",986,"1,146","1,541","3,030","6,751","5,550","5,608","4,490","3,245","6,150","1,931","2,094","3,551","4,736","5,810","11,209","16,454","9,720","6,535","5,547","4,427","6,778","3,443","3,385","4,612","6,441","8,332","19,519","20,294","14,666","12,710","9,404","6,189","9,297","4,732","4,902","6,598","7,993","10,455","20,308","21,911","15,860","9,768","9,216","6,400","9,451","5,122","5,249","7,483","7,362","11,446","21,112","23,181","15,605","11,122","10,179"
Northeast Asia,"108,897","58,011","20,534","1,490","1,834","2,944","3,202","6,032","4,576","3,650","3,626","4,105","3,871","2,919","2,918","3,406","3,348","4,027","7,037","14,146","12,966","9,605","9,561","14,648","6,986","5,713","8,865","11,645","19,525","29,547","40,173","36,286","33,737","32,412","26,658","37,558","35,379","27,529","34,079","35,737","56,729","76,460","98,286","76,836","81,386","74,974","39,221","50,371","41,275","50,552","44,625","48,753","78,099","98,200","118,909","99,505","99,646","83,872","42,809","56,879","64,642","45,159","47,593","55,728","84,240","112,587","140,885","114,819","118,819","100,666"
Southeast Asia,"9,868","8,018","4,935",494,384,782,"1,280","1,848","1,528","1,536","1,737","1,735","1,367","1,239","1,272","1,456","1,656","1,864","1,829","3,049","3,149","2,929","3,271","8,529","2,915","2,908","4,667","6,817","9,473","13,789","12,950","10,587","15,696","11,982","8,953","16,081","8,416","8,454","10,048","14,781","23,299","31,523","27,351","20,852","28,280","24,117","14,890","19,575","9,496","11,275","14,099","20,560","34,060","45,076","32,248","25,009","28,367","22,302","13,019","20,647","10,960","10,254","14,157","20,758","32,805","39,690","31,295","23,442","27,002","21,848"
Southern Asia,"18,850","17,831","11,402","1,176",986,"1,587","2,739","5,747","9,705","6,112","5,229","7,042","6,761","8,019","6,950","9,099","1,971","3,346","5,884","9,264","15,629","19,652","16,167","14,781","7,101","10,585","16,662","21,867","37,803","44,453","36,585","24,392","33,298","37,292","20,083","18,423","16,011","18,950","26,433","33,899","93,664","80,141","76,539","41,710","47,756","41,805","30,957","28,923","26,107","34,896","37,518","44,404","90,889","84,334","82,285","47,228","40,055","31,955","23,639","22,148","25,069","32,172","41,116","48,729","87,814","86,056","86,269","49,539","46,857","36,624"
"Asia, n.o.s. 6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,"32,324","18,010","7,283",295,123,280,947,"1,085",501,404,476,360,238,257,214,221,233,353,731,681,951,"1,093","1,737","6,183","4,371","4,126","5,197","8,507","12,683","24,936","28,969","26,762","26,012","15,266","12,674","37,359","29,212","15,581","13,697","18,126","37,293","45,236","44,982","45,612","42,657","21,291","14,615","36,923","26,305","16,249","15,309","20,245","43,827","50,873","48,269","44,905","46,744","22,421","15,034","36,381","26,632","16,811","14,646","20,676","47,353","48,879","48,289","51,561","48,400","22,041"
Australasia,"32,057","17,802","7,096",280,117,192,358,374,305,302,361,272,188,192,166,158,177,280,574,420,750,867,"1,583","5,861","4,255","4,024","5,017","8,159","12,309","24,255","28,309","26,139","25,374","14,987","12,377","36,621","28,860","15,206","13,319","17,701","36,532","44,394","43,962","44,720","41,685","20,722","14,257","36,228","25,905","15,846","14,940","19,780","43,106","50,070","47,395","44,086","46,103","21,972","14,656","35,623","26,258","16,459","14,283","20,236","46,739","48,099","47,374","45,817","47,650","21,561"
Melanesia,142,131,88,4,1,4,8,3,3,9,12,13,8,2,9,10,6,16,38,21,42,29,34,126,57,39,79,138,129,154,284,302,190,89,177,410,234,223,209,180,342,405,479,442,492,314,223,408,298,258,214,268,419,426,425,443,371,263,210,346,256,237,205,246,299,353,457,390,399,214
Micronesia,52,21,26,10,5,15,9,9,10,6,16,11,3,4,13,13,1,7,13,12,31,29,51,33,11,18,20,58,51,202,83,59,237,41,56,61,37,30,35,45,212,138,157,127,198,62,24,51,26,25,35,53,91,128,94,147,45,50,35,91,28,20,36,39,99,189,98,"5,055",82,86
Polynesia,73,56,73,1,0,69,572,699,183,87,87,64,39,59,26,40,49,50,106,228,128,168,69,163,48,45,81,152,194,325,293,262,211,149,64,267,81,122,134,200,207,299,384,323,282,193,111,236,76,120,120,144,211,249,355,229,225,136,133,321,90,95,122,155,216,238,360,299,269,180
"Oceania, n.o.s. 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica and Adjacent Islands,30,28,15,1,5,5,5,2,5,9,6,5,0,3,7,11,14,25,11,15,33,40,17,25,10,20,37,72,89,117,104,53,26,39,30,47,14,22,23,41,46,71,75,88,70,67,38,38,11,19,22,25,32,47,42,26,32,30,26,51,14,18,14,40,44,77,77,51,59,68
Antarctica and Adjacent Islands Region,30,28,15,1,5,5,5,2,5,9,6,5,0,3,7,11,14,25,11,15,33,40,17,25,10,20,37,72,89,117,104,53,26,39,30,47,14,22,23,41,46,71,75,88,70,67,38,38,11,19,22,25,32,47,42,26,32,30,26,51,14,18,14,40,44,77,77,51,59,68
"Antarctica and Adjacent Islands, n.o.s. 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
